"address/city","address/country","address/postalCode","address/region","address/street","areaServed","email","firmId","geo/latitude","geo/longitude","name","phone","practiceAreas/0","practiceAreas/1","practiceAreas/2","practiceAreas/3","practiceAreas/4","practiceAreas/5","practiceAreas/6","practiceAreas/7","practiceAreas/8","practiceAreas/9","practiceAreas/10","practiceAreas/11","practiceAreas/12","practiceAreas/13","practiceAreas/14","practiceAreas/15","practiceAreas/16","practiceAreas/17","practiceAreas/18","practiceAreas/19","practiceAreas/20","practiceAreas/21","practiceAreas/22","practiceAreas/23","practiceAreas/24","practiceAreas/25","practiceAreas/26","practiceAreas/27","practiceAreas/28","practiceAreas/29","practiceAreas/30","practiceAreas/31","practiceAreas/32","practiceAreas/33","practiceAreas/34","practiceAreas/35","practiceAreas/36","practiceAreas/37","practiceAreas/38","practiceAreas/39","practiceAreas/40","practiceAreas/41","practiceAreas/42","practiceAreas/43","practiceAreas/44","practiceAreas/45","practiceAreas/46","practiceAreas/47","practiceAreas/48","practiceAreas/49","practiceAreas/50","practiceAreas/51","rating","website","type"
"Sacramento","US","95815","CA","1111 Exposition Blvd Bldg 500","California","intakecoordinator@yorklawfirm.net","MzQ0OTc0M18x","38.5992838","-121.4488318","York Law Firm","+1-855-336-7941","Elder Law and Wrongful Death","Elder Law","Elder Abuse and Neglect","Wrongful Death",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://www.yorklawfirm.com","firm"
"Oakland","US","94607","CA","11 Embarcadero West Suite 134","California",,"MjQ1MDMzNF8x","37.7914813","-122.268633","Law Offices of Cavin and Marks","+1-888-340-7991","Admiralty/Maritime",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://www.sealawyer.com","firm"
"Oakland","US","94621","CA","333 Hegenberger Road #500","California","info@hill-law-offices.com","MjIzODg2M18x","37.7356796","-122.1984177","Law Offices of John E. Hill","+1-510-993-3689","Personal Injury","Workers' Compensation","Civil Rights","Employment Litigation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://www.hill-law-offices.com/","firm"
"Merced","US","95340","CA","728 West 19th Street","California","curry.curry@att.net","MTYwMDE2NF8x","37.3045951","-120.4860518","Curry and Curry","+1-209-992-3989","Trusts and Estates","Estate Planning","Personal Injury","Auto Accidents","Truck Accidents","Motorcycle Accidents","Nursing Home Abuse","Catastrophic Injuries","Wrongful Death","Dog Bites",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://www.curryandcurrylaw.com/","firm"
"Oakland","US","94621","CA","333 Hegenberger Rd Suite 500","California","chris@scrantonlawfirm.com","NTM4NjgxM18x","37.7356796","-122.1984177","Scranton Law Firm","+1-925-378-5997","Personal Injury","Motor Vehicle Accidents","Mass Tort",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://scrantonlawfirm.com/,https://slfmoto.com/","firm"
"Berkeley","US","94710","CA","1816 Fifth St","California","scott@scottherndonlaw.com","NTE4MzY1Ml8x","37.8696137","-122.2996564","The Law Office of Scott R. Herndon, PC","+1-415-907-7082","Sex Offenses","Personal Injury","Civil Sexual Assault","Sexual Harassment","High-profile Employment Law Matters",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5","https://www.scottherndonlaw.com/","firm"
"Oakland","US","94607","CA","101 Broadway Suite 264","California","leads@setarehfirm.com","NTM4ODEzM18x","37.7956924","-122.2770386","Setareh Law, APLC","+1-213-255-4534","Personal Injury","Motor Vehicle Accident","Car Accident","Trucking Accident","Motorcycle Accident","Slip & Fall","Premises Liability",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://setarehlaw.lawfirms.com/slip-and-fall,https://setarehlaw.lawfirms.com/motor-vehicle-accidents/","firm"
"Oakland","US","94607","CA","66 Franklin St Suite 300","California","eagustin@jacobyandmeyers.com","NTM3OTYxMF8x","37.7943382","-122.2754974","Jacoby & Meyers Accident & Injury Lawyers","+1-510-616-9169","Personal Injury","Automobile accidents","Bicyclists","Pedestrians","Truck Drivers","Uber and Lyft","Slip and Fall","Dog Bites","Construction Accidents","Scooter Accidents","Wrongful Death",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://www.jacobyandmeyers.com/oakland-personal-injury-attorney/","firm"
"Oakland","US","94607","CA","111 Broadway Second Floor","California",,"NDM2Mjg1MV8x","37.797814","-122.280489","Viadro Law LLP","+1-510-907-9577","Personal Injury","Employment Law","Workers' Compensation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5","https://www.butlerviadro.com","firm"
"Oakland","US","94612","CA","1498 Alice Street","California","james.barnes@dolanlawfirm.com","Mzk5MzUyMV8x","37.8037668","-122.2653223","Dolan Law Firm","+1-415-735-3391","Personal Injury","Elder Abuse","Employee Related Cases",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://dolanlawfirm.com/","firm"
